date,store_12631,store_46673,store_20974,store_4904
05/03/2015,232,152,0,0
06/03/2015,227,100,4,0
07/03/2015,181,54,0,0
08/03/2015,221,199,0,0
09/03/2015,229,166,0,0
10/03/2015,237,143,0,0
11/03/2015,235,162,0,0
12/03/2015,244,116,0,0
13/03/2015,218,136,29,176
14/03/2015,205,68,0,182
15/03/2015,248,176,0,347
16/03/2015,153,181,6,400
17/03/2015,222,120,8,406
18/03/2015,262,141,4,382
19/03/2015,259,205,0,324
20/03/2015,274,118,164,192
21/03/2015,250,62,112,274
22/03/2015,209,152,168,370
23/03/2015,202,135,222,332
24/03/2015,207,180,222,390
25/03/2015,251,172,194,384
26/03/2015,256,180,172,377
27/03/2015,246,82,158,232
28/03/2015,251,96,142,219
29/03/2015,214,193,238,376
30/03/2015,218,209,282,360
31/03/2015,245,146,276,422
01/04/2015,268,189,250,448
02/04/2015,236,170,184,332
03/04/2015,352,94,212,312
04/04/2015,190,67,16,235
05/04/2015,280,182,235,402
06/04/2015,232,201,181,406
07/04/2015,243,186,201,436
08/04/2015,217,223,232,449
09/04/2015,309,187,258,378
10/04/2015,354,96,237,270
11/04/2015,212,70,241,298
12/04/2015,264,156,268,354
13/04/2015,252,220,236,426
14/04/2015,251,214,232,400
15/04/2015,306,160,335,400
16/04/2015,291,180,238,370
17/04/2015,328,114,278,320
18/04/2015,221,76,259,210
19/04/2015,199,194,211,342
20/04/2015,249,176,260,384
21/04/2015,241,141,248,410
22/04/2015,265,194,220,410
23/04/2015,279,153,296,380
24/04/2015,313,102,286,253
25/04/2015,233,128,173,254
26/04/2015,324,193,234,426
27/04/2015,354,185,283,428
28/04/2015,324,173,283,378
29/04/2015,307,169,293,412
30/04/2015,316,171,227,364
01/05/2015,324,95,198,262
02/05/2015,203,80,158,196
03/05/2015,369,137,313,376
04/05/2015,246,147,232,402
05/05/2015,267,163,250,360
06/05/2015,256,183,252,362
07/05/2015,313,165,277,322
08/05/2015,277,78,192,218
09/05/2015,257,88,118,231
10/05/2015,264,169,264,434
11/05/2015,238,172,247,356
12/05/2015,259,169,198,426
13/05/2015,361,190,230,360
14/05/2015,316,123,258,341
15/05/2015,263,76,186,226
16/05/2015,233,50,194,332
17/05/2015,256,147,204,300
18/05/2015,220,126,222,320
19/05/2015,258,159,218,322
20/05/2015,237,172,242,290
21/05/2015,350,162,203,298
22/05/2015,271,92,154,162
23/05/2015,194,79,112,264
24/05/2015,244,99,130,168
25/05/2015,289,125,243,284
26/05/2015,253,171,264,334
27/05/2015,318,182,263,370
28/05/2015,371,185,222,270
29/05/2015,351,98,206,258
30/05/2015,279,50,128,206
31/05/2015,236,151,172,436
01/06/2015,204,188,198,362
02/06/2015,252,148,228,374
03/06/2015,241,165,249,318
04/06/2015,279,167,219,330
05/06/2015,232,96,185,251
06/06/2015,245,86,161,230
07/06/2015,282,244,200,416
08/06/2015,230,173,224,318
09/06/2015,294,127,210,352
10/06/2015,235,124,256,298
11/06/2015,376,151,386,256
12/06/2015,366,134,170,223
13/06/2015,229,96,206,216
14/06/2015,234,138,167,350
15/06/2015,232,244,266,338
